linkId,refnodeid,nrefnodeid,linklength,shapepoints
19807459,32039416,32039414,120.68,41.90663:-87.72761|41.90715:-87.72889
19804149,32012453,32012454,200.178,41.92409:-87.7598|41.92589:-87.75984
1193785338,1141606338,32012320,57.875,41.92511:-87.77698|41.92563:-87.77701
947537930,32039642,969265955,33.095,41.92:-87.72174|41.92:-87.72134
917024306,947468346,32039585,51.313,41.91532:-87.72711|41.91533:-87.72649
917327313,32039453,947653806,49.656,41.91892:-87.73394|41.91893:-87.73454
915843018,947382046,947382034,102.629,41.90224:-87.72507|41.90225:-87.72383
915947032,947380816,946763690,149.084,41.92257:-87.7322|41.92391:-87.73226
19808266,32039398,32039399,99.337,41.90266:-87.72872|41.90268:-87.72752
916989229,32039435,947441723,151.282,41.91522:-87.73503|41.91658:-87.73508
1118712342,1093684337,975949323,137.904,41.91373:-87.71788|41.91497:-87.71791
1221412890,1158831695,1158831698,23.351,41.90595:-87.72688|41.90616:-87.72688
1222577389,1159550101,965655559,22.342,41.91198:-87.73644|41.91198:-87.73617
915957102,32048685,946770159,50.038,41.85511:-87.66368|41.85556:-87.66368
916029304,946818834,32049275,42.287,41.85766:-87.64991|41.85804:-87.64993
1047959610,1044772021,1044772020,293.067,41.85087:-87.64991|41.8509:-87.64876|41.85212:-87.64877|41.85241:-87.64905|41.85261:-87.64908
1168481662,1034839626,1125877456,32.321,41.85241:-87.6623|41.85242:-87.66191
1170540043,32042262,1127175912,95.983,41.90596:-87.67975|41.90604:-87.67978|41.90682:-87.6798
19809679,32008496,32008498,201.305,41.89665:-87.76786|41.89846:-87.76791
19809423,32008506,32008524,241.702,41.8976:-87.76364|41.89763:-87.76072
19809714,32008390,32008410,237.61,41.89651:-87.77519|41.89656:-87.77232
932066149,958141875,32008436,12.417,41.88779:-87.7678|41.88779:-87.76765
1156176671,32008377,1118186100,8.896,41.89325:-87.77508|41.89333:-87.77508
1221134355,1158660641,32008648,105.161,41.90121:-87.76503|41.90124:-87.76376
758988737,32007638,835135338,62.275,41.86181:-87.77403|41.86237:-87.77404
915818607,946679455,946679480,64.537,41.92824:-87.67087|41.92825:-87.67009
19806826,32039409,32039411,16.55,41.90983:-87.7314|41.90983:-87.7312
917239634,947600313,32045506,59.579,41.92287:-87.70978|41.92288:-87.70906
1209121674,876350903,1150933723,43.751,41.90794:-87.70622|41.90833:-87.70615
711399461,801639732,801639733,91.893,41.88681:-87.62365|41.88682:-87.62254
1078919495,807842857,1065826000,53.38,41.91063:-87.66711|41.91111:-87.66712
727568236,813202156,808736736,19.901,41.87834:-87.62009|41.87835:-87.61985
19807391,32052724,32052751,100.968,41.90648:-87.64087|41.90649:-87.63965
956133470,975932067,32008372,68.71,41.89319:-87.77752|41.8932:-87.77669
916913204,947386955,32038554,65.42,41.8644:-87.72084|41.8644:-87.72005
916986752,32038406,947439714,145.773,41.86899:-87.73257|41.86902:-87.73081
1162139379,32038486,1121937872,47.821,41.87967:-87.73298|41.8801:-87.73299
1007517757,1014220310,32038305,49.712,41.84618:-87.71912|41.84619:-87.71852
19837585,32038334,32038336,106.035,41.855:-87.72359|41.85502:-87.72231
943569017,966410747,32038200,42.287,41.84707:-87.72949|41.84745:-87.72951
19838312,32038192,32038193,103.415,41.84787:-87.73115|41.8488:-87.73116
916167169,947435113,946904556,154.67,41.857:-87.72792|41.85839:-87.72799
943569016,32038196,966410747,16.679,41.84692:-87.72949|41.84707:-87.72949
955306192,32039665,975414053,157.951,41.84622:-87.71606|41.84764:-87.71611
1169344714,1126435517,32052507,56.715,41.89424:-87.63713|41.89475:-87.63714
1033565463,32045519,1034418959,45.657,41.92622:-87.70692|41.92663:-87.70695
776372131,1083111748,305452130,17.382,41.89514:-87.74048|41.89514:-87.74027
1170667398,32054554,1127250792,49.268,41.88958:-87.62044|41.89002:-87.62037
1220873018,808712067,1158493316,16.7,41.85166:-87.74427|41.85181:-87.74428
946146979,968374862,32007284,76.742,41.87731:-87.7905|41.878:-87.79052
956114385,975921280,968030787,8.28,41.8743:-87.79222|41.8743:-87.79212
917042806,32043028,947479122,51.304,41.92631:-87.72682|41.92632:-87.7262
1221941430,1159165833,1159165834,68.946,41.86261:-87.66855|41.86323:-87.66856
1221941415,1153417966,1159165827,46.709,41.86262:-87.66738|41.86304:-87.66739
720282686,32049915,808042636,70.385,41.87534:-87.65185|41.87535:-87.651
778052279,847132033,848291007,22.388,41.85986:-87.65037|41.85987:-87.6501
1102351427,1082680996,1082680997,13.369,41.85986:-87.66625|41.85998:-87.66624
915789186,32048691,946658498,157.386,41.85965:-87.66379|41.85968:-87.66189
858790159,32048996,904812155,38.927,41.87772:-87.66189|41.87807:-87.6619
868975814,911911221,913809345,24.011,41.87474:-87.65397|41.87474:-87.65368
1034154270,1034826060,305444200,36.732,41.86649:-87.66398|41.86682:-87.664
719548625,805647069,807565905,57.137,41.86679:-87.66784|41.86679:-87.66758|41.86679:-87.66715
868990693,911923451,911923459,12.421,41.8674:-87.64941|41.8674:-87.64926
915794554,32048902,946662540,128.35,41.8638:-87.66453|41.86413:-87.66453|41.86419:-87.6646|41.86418:-87.6656
915944944,946762277,946762278,60.497,41.85927:-87.66134|41.85929:-87.66061
864352386,806660713,908832465,53.399,41.87034:-87.65677|41.87082:-87.65679
868975833,911911239,911911234,85.282,41.87332:-87.65495|41.87332:-87.65392
915818937,946679699,946679700,32.289,41.87148:-87.65173|41.87177:-87.65175
915755054,946634898,946634897,131.312,41.87179:-87.65592|41.87205:-87.65591|41.87229:-87.65592|41.87246:-87.65593|41.87263:-87.65592|41.87286:-87.65593|41.87297:-87.65594
1169440078,32052721,1126491247,19.032,41.91097:-87.64437|41.91097:-87.64414
996167642,1006074348,1006074346,20.015,41.91168:-87.65922|41.91186:-87.65922
868990647,911923425,911923434,44.478,41.86883:-87.65055|41.86923:-87.65055
775916489,807768756,846778038,4.448,41.91556:-87.75585|41.9156:-87.75585
19808018,32008537,32008538,222.564,41.90387:-87.77661|41.90566:-87.77666|41.90587:-87.77669
1157963517,1034269933,1119294200,72.296,41.92066:-87.76584|41.92131:-87.76586
1170303155,1127037255,32042242,38.918,41.90637:-87.68347|41.90672:-87.68347
1221672237,1158998861,1158998860,102.329,41.90774:-87.73775|41.90866:-87.73778
1193579740,1141480784,32039048,43.374,41.91927:-87.74863|41.91966:-87.74864
19807741,32039362,32039367,203.63,41.90523:-87.73621|41.90527:-87.73375
19807526,32039520,32039521,198.012,41.9063:-87.72395|41.90808:-87.72402
915808892,946672884,946672824,48.83,41.91768:-87.72288|41.91769:-87.72229
956163175,946667490,975949404,41.15,41.90897:-87.73261|41.90934:-87.73262
19807866,32039501,32039507,100.965,41.90445:-87.72513|41.90445:-87.72391
818657667,32038667,876577321,54.376,41.87956:-87.71812|41.87961:-87.71813|41.87978:-87.71819|41.87986:-87.71826|41.87996:-87.71844
916892478,32038542,947372992,51.453,41.86072:-87.72135|41.86075:-87.72073
916906027,32038609,947382063,140.821,41.8762:-87.72305|41.87624:-87.72135
942921963,966011982,32038529,40.591,41.86614:-87.72686|41.86615:-87.72637
1121576388,32038501,1095546375,181.976,41.87232:-87.72784|41.87291:-87.72579
828810340,883501822,32041035,7.828,41.8883:-87.71655|41.88837:-87.71654
125165311,32041436,305456101,28.958,41.90918:-87.70696|41.90944:-87.70698
19807216,32051106,32051107,81.21,41.90755:-87.67247|41.90828:-87.6725
19804602,32046205,32046206,22.254,41.92166:-87.68753|41.92186:-87.68754
19814339,32049990,32049991,63.381,41.87609:-87.64833|41.87666:-87.64833
19837053,32049796,32050234,108.974,41.85884:-87.6378|41.85982:-87.63781
778171181,848376935,32053545,20.7,41.87219:-87.63186|41.87219:-87.63161
937990049,962930540,954683783,15.73,41.8796:-87.64703|41.8796:-87.64684
943191858,966180148,946714970,9.107,41.87929:-87.64342|41.87929:-87.64331
970156943,986913591,986913586,54.542,41.87938:-87.63703|41.87987:-87.63706
1168636385,32049294,1125972866,35.592,41.85915:-87.64667|41.85947:-87.64668
1222069807,1159248696,808674015,19.873,41.86724:-87.64|41.86724:-87.63976
858019785,904167230,32054385,91.795,41.89843:-87.62642|41.89888:-87.62663|41.89918:-87.62687
858019807,904167239,32054358,47.231,41.89491:-87.626|41.89493:-87.62543
858429867,904167255,904504002,13.343,41.89019:-87.62665|41.89031:-87.62665
1209383589,1151087491,1151087490,17.385,41.88451:-87.62184|41.88451:-87.62163
721100805,32040460,808688635,45.571,41.852:-87.68564|41.85201:-87.68519|41.85201:-87.68509
915982442,32040412,946786652,38.119,41.84656:-87.68661|41.84657:-87.68615
955775841,946655508,975691423,201.306,41.85534:-87.67837|41.85534:-87.67832|41.85538:-87.67594
1221753833,1159048080,1159048081,19.082,41.85292:-87.68976|41.85293:-87.68953
